R101, 3.247424626021168
R102, 3.7230890640755323
R103, 2.851115894139333
R104, 5.543559338088345
R105, 4.297417903229224
R106, 1.719741384391281
R107, 1.1309297535714575
R108, 0.7023176840202704
R109, 4.184004471296072
R110, 2.4484591188793923
R111, 0.0
R112, 3.9484591188793923
R113, 4.10363181312919
R114, 3.351115894139333
R115, 1.1309297535714575
R116, 1.0
R117, 1.5900948219818691
R118, 1.6759176335524295
R119, 0.0
R120, 2.9484591188793923
R121, 3.7817924522127258
R122, 2.3060353928910655
R123, 1.3010299956639813
R124, 2.48713694067948
R125, 4.233278375538601
R126, 1.8774233233398783
R127, 2.391858204461626
R128, 1.0
R129, 4.011434517427894
R130, 1.9871369406794797
R131, 1.2890648263178879
R132, 1.4306765580733931
R133, 3.5616063116448506
R134, 0.7317065537373743
R135, 0.8175293653079347
R136, 2.157237182772003
R137, 2.6309297535714578
R138, 0.5
R139, 2.3562071871080223
R140, 4.6235647581990005
R141, 4.898287324662435
R142, 0.31546487678572877
R143, 0.2890648263178879
R144, 2.1895405204413554
R145, 0.0
R146, 1.0
R147, 2.9484591188793923
R148, 0.5900948219818691
R149, 0.671672063893751
R150, 1.7639239956651211
